Path,Black,White,Ratio
./Anushka/3xShapes/parallelogram_angle_90_3x.png,125920,143726,1.1414072426937738
./Anushka/3xShapes/trapezium_angle_90_3x.png,154142,115501,1.3345512160067878
./Anushka/3xShapes/rectangle_angle_90_3x.png,201841,233691,1.157797474249533
./Anushka/3xShapes2/circle_3x.png,136069,145881,1.072110473362779
./Anushka/3xShapes2/square_3x.png,156309,134363,1.1633336558427543
./Anushka/3xShapes2/ellipse_angle_90_3x.png,186958,236685,1.2659795248130596
./Anushka/3xShapes2/rectangle_angle_0_3x.png,217463,218568,1.0050813241792858
./Anushka/3xShapes2/ellipse_angle_0_3x.png,213694,209164,1.0216576466313514
./Anushka/3xShapes2/trapezium_angle_0_3x.png,204448,65712,3.11127343559776
./Anushka/3xShapes2/parallelogram_angle_0_3x.png,136798,133752,1.0227734912375142
./Anushka/3xShapes2/parallelogram_angle_90_3x.png,136196,132681,1.026492112661195
./Anushka/3xShapes2/trapezium_angle_90_3x.png,177153,91875,1.928195918367347
./Anushka/3xShapes2/rectangle_angle_90_3x.png,260528,175973,1.480499849408716
./Vanshita/3xShapes/circle_3x.png,146412,135701,1.0789308848129344
./Vanshita/3xShapes/square_3x.png,73139,216913,2.965763819576423
./Vanshita/3xShapes/ellipse_angle_90_3x.png,210931,212322,1.006594573580934
./Vanshita/3xShapes/rectangle_angle_0_3x.png,136170,299970,2.2029081295439523
./Vanshita/3xShapes/ellipse_angle_0_3x.png,223847,199279,1.1232844404076696
./Vanshita/3xShapes/trapezium_angle_0_3x.png,101245,167563,1.6550249395031853
./Vanshita/3xShapes/parallelogram_angle_0_3x.png,134208,134413,1.0015274797329519
./Vanshita/3xShapes/parallelogram_angle_90_3x.png,134339,133690,1.004854514174583
./Vanshita/3xShapes/trapezium_angle_90_3x.png,114187,154619,1.3540858416457215
./Vanshita/3xShapes/rectangle_angle_90_3x.png,112696,322721,2.8636420103641655
./Vanshita/3xShapes2/circle_3x.png,217164,64700,3.3564760432766616
./Vanshita/3xShapes2/square_3x.png,143458,146112,1.0185001882083955
./Vanshita/3xShapes2/ellipse_angle_90_3x.png,201168,221981,1.103460788992285
./Vanshita/3xShapes2/rectangle_angle_0_3x.png,228093,207466,1.0994235199984577
./Vanshita/3xShapes2/ellipse_angle_0_3x.png,212403,210684,1.008159138805035
./Vanshita/3xShapes2/trapezium_angle_0_3x.png,192476,76904,2.502808696556746
./Vanshita/3xShapes2/parallelogram_angle_0_3x.png,139216,130599,1.065980597094924
./Vanshita/3xShapes2/parallelogram_angle_90_3x.png,139742,129964,1.0752362192607183
./Vanshita/3xShapes2/trapezium_angle_90_3x.png,181652,87409,2.0781841686782827
