Name,Category,circle.png,circle_3x.png,ellipse_angle_0.png,ellipse_angle_0_3x.png,ellipse_angle_90.png,ellipse_angle_90_3x.png,parallelogram_angle_0.png,parallelogram_angle_0_3x.png,parallelogram_angle_90.png,parallelogram_angle_90_3x.png,rectangle_angle_0.png,rectangle_angle_0_3x.png,rectangle_angle_90.png,rectangle_angle_90_3x.png,square.png,square_3x.png,trapezium_angle_0.png,trapezium_angle_0_3x.png,trapezium_angle_90.png,trapezium_angle_90_3x.png
Keshav,3xShapes,0.0,1.0770314216817716,0.0,1.0990320623140972,0.0,14.556821113937117,0.0,1.0159306917313553,0.0,1.222481246201367,0.0,1.1153933788061683,0.0,5.392716477573335,0.0,1.0264703420568049,0.0,1.6408356720899653,0.0,1.891333139516103
Keshav,3xShapes2,0.0,1.254134022604675,0.0,1.2548254884499426,0.0,1.0105238072541824,0.0,1.2066954926624738,0.0,1.2834370007817546,0.0,3.625067772285122,0.0,1.435722558229314,0.0,5.277440013847119,0.0,3.491407672138813,0.0,1.0904559289396858
Khushi,3xShapes,0.0,1.030894730400098,0.0,1.0035170985827606,0.0,1.0077892173352727,0.0,1.0053005248266131,0.0,1.0176057928252067,0.0,1.031824571529646,0.0,1.0585294464770447,0.0,1.1721411919421365,0.0,4.456680785521756,0.0,2.058912952227529
Khushi,3xShapes2,0.0,1.0155962386381472,0.0,1.0007977116531983,0.0,1.0807891789945188,0.0,1.2573312249525197,0.0,1.1087304451522806,0.0,1.1984947927693594,0.0,1.284527018186576,0.0,1.1332976249000286,0.0,1.6794677145664016,0.0,5.239628454286442
KhushiGoyal,1xShapes,1.1381885448067963,0.0,1.015610176800345,0.0,1.237071442252442,0.0,1.0137897914379803,0.0,1.012686874228501,0.0,1.0206459784673845,0.0,1.004017745040596,0.0,1.0056077121794469,0.0,1.1694915254237288,0.0,1.3921894803548795,0.0
KhushiGoyal,1xShapes2,1.124770142341483,0.0,1.055306427503737,0.0,1.0236944527607887,0.0,1.1551475881929445,0.0,1.0008753619284896,0.0,1.0255892255892256,0.0,1.0282689965136305,0.0,1.1936829151569015,0.0,1.5411863693731591,0.0,1.07201502922349,0.0
Mahika,3xShapes,0.0,1.2033672878624293,0.0,1.0382005928093,0.0,1.428239051881129,0.0,1.0173751838842355,0.0,1.0056678589830712,0.0,1.0091840600197726,0.0,1.0686267064117412,0.0,1.0262137417403965,0.0,2.056633419866102,0.0,1.4009301579664823
Mahika,3xShapes2,0.0,1.03908604131891,0.0,1.020646572516131,0.0,1.0052118343195269,0.0,1.155761968766001,0.0,1.1874338559729074,0.0,1.05709431558083,0.0,1.1151724338526872,0.0,1.0968435482125465,0.0,1.3280762564991335,0.0,1.9962938569562745
Parth,1xShapes,1.269006274624252,0.0,1.0546022527279126,0.0,1.0469654446588317,0.0,1.2260608336462635,0.0,1.0799944157475918,0.0,1.024131396083386,0.0,1.0782755926022405,0.0,1.1077481041872734,0.0,1.5384285469205696,0.0,1.902567607146344,0.0
Parth,1xShapes2,1.121393984859851,0.0,1.196111660311632,0.0,1.0084971247103254,0.0,1.1517889410914348,0.0,1.1581669823692262,0.0,1.0822782056302485,0.0,1.0298463231869943,0.0,1.1083851342415023,0.0,1.1488670803867802,0.0,1.2575769084694266,0.0
Pavani,1xShapes,1.0411703102500327,0.0,1.014643363249882,0.0,1.010370051635112,0.0,1.004954190702409,0.0,1.0125479978058145,0.0,1.0205152066325451,0.0,1.035088461864048,0.0,1.0111491194729507,0.0,1.0566938945036688,0.0,1.9264851976952115,0.0
